"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"686363","1940",2,27117235,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"686364","1940",2,27117235,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"686366","1940",2,27117237,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Missouri","Missouri","No, not in school",10,"10th grade"
"686375","1940",2,27117243,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686386","1940",2,27117248,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","18","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"686389","1940",2,27117250,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"686397","1940",2,27117262,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686398","1940",2,27117263,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"686402","1940",2,27117266,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",7,"7th grade"
"686412","1940",2,27117277,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"686415","1940",2,27117279,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
